,Experiment,Measurement,Time,Concentration,Bioagent,Type
464,23,1,9.5,813522527.1471375,CFU,wt
465,23,1,10.07,15.054922553125454,PFU,wt
466,23,1,10.0,612808917.2196454,CFU,sp
467,23,1,10.25,2.2556386099497834,PFU,sp
468,23,2,9.9,875901044.6084628,CFU,wt
469,23,2,10.32,16.191333006820585,PFU,wt
470,23,2,9.66,565581490.232745,CFU,sp
471,23,2,10.49,2.423322096682312,PFU,sp
472,23,3,10.09,904539280.502946,CFU,wt
473,23,3,9.82,13.964211426265848,PFU,wt
474,23,3,9.53,547929866.9483417,CFU,sp
475,23,3,10.17,2.2016693902684983,PFU,sp
476,23,4,10.31,936742292.29243,CFU,wt
477,23,4,10.46,16.847032543489306,PFU,wt
478,23,4,10.18,638347455.2376904,CFU,sp
479,23,4,10.14,2.181677459301268,PFU,sp
480,24,0,9.82,863635659.7214118,CFU,wt
481,24,0,10.14,15.36858315123744,PFU,wt
482,24,0,10.43,674306371.044318,CFU,sp
483,24,0,10.06,2.1290203473691904,PFU,sp
484,24,1,9.790000000000001,859006711.9406546,CFU,wt
485,24,1,9.9,14.308168163009231,PFU,wt
486,24,1,9.83,589015048.971146,CFU,sp
487,24,1,9.63,1.8620829431115984,PFU,sp
488,24,2,10.41,951009822.9787076,CFU,wt
489,24,2,9.51,12.677476695101348,PFU,wt
490,24,2,9.91,600169836.9108927,CFU,sp
491,24,2,9.5,1.78662483856921,PFU,sp
492,24,3,9.72,848146382.3140684,CFU,wt
493,24,3,10.44,16.75253020764834,PFU,wt
494,24,3,10.03,617042048.843183,CFU,sp
495,24,3,10.13,2.1750432881985367,PFU,sp
496,24,4,9.97,886535303.4868376,CFU,wt
497,24,4,9.73,13.583046462847301,PFU,wt
498,24,4,9.9,598771271.629141,CFU,sp
499,24,4,9.57,1.8269583939513974,PFU,sp
500,25,0,9.63,834067468.0867445,CFU,wt
501,25,0,9.55,12.839338027954154,PFU,wt
502,25,0,9.91,600169836.9108927,CFU,sp
503,25,0,10.19,2.2150719556052456,PFU,sp
504,25,1,10.290000000000001,933860184.0165012,CFU,wt
505,25,1,10.25,15.86863000573792,PFU,wt
506,25,1,9.92,601569581.026694,CFU,sp
507,25,1,10.01,2.0965914577956117,PFU,sp
508,25,2,9.84,866712846.6173913,CFU,wt
509,25,2,10.41,16.611293261760093,PFU,wt
510,25,2,9.86,593188972.4144278,CFU,sp
511,25,2,10.32,2.303648923912703,PFU,sp
512,25,3,10.48,960851647.4219812,CFU,wt
513,25,3,10.41,16.611293261760093,PFU,wt
514,25,3,9.76,579319949.5570649,CFU,sp
515,25,3,9.93,2.045472166030543,PFU,sp
516,25,4,10.25,928068013.1804616,CFU,wt
517,25,4,10.47,16.89438664444527,PFU,wt
518,25,4,10.31,656982926.6577199,CFU,sp
519,25,4,10.44,2.3876702401623247,PFU,sp
520,26,0,10.4,949593957.4233278,CFU,wt
521,26,0,10.41,16.611293261760093,PFU,wt
522,26,0,10.15,634068574.099449,CFU,sp
523,26,0,9.64,1.8679868997032907,PFU,sp
524,26,1,10.14,911952358.6011204,CFU,wt
525,26,1,9.65,13.249425858945083,PFU,wt
526,26,1,9.63,561486623.9875553,CFU,sp
527,26,1,9.75,1.9338764258269734,PFU,sp
528,26,2,9.72,848146382.3140684,CFU,wt
529,26,2,10.4,16.56435253013662,PFU,wt
530,26,2,9.96,607180170.6639886,CFU,sp
531,26,2,9.83,1.9828924210665455,PFU,sp
532,26,3,10.49,962247623.7106284,CFU,wt
533,26,3,10.31,16.145020691058896,PFU,wt
534,26,3,9.5,543891466.3222998,CFU,sp
535,26,3,10.02,2.103047671375725,PFU,sp
536,26,4,10.49,962247623.7106284,CFU,wt
537,26,4,9.59,13.002443835453093,PFU,wt
538,26,4,10.07,622701189.1182187,CFU,sp
539,26,4,10.34,2.3175015474069998,PFU,sp
540,27,0,10.370000000000001,945331728.5330423,CFU,wt
541,27,0,9.67,13.332370347476232,PFU,wt
542,27,0,9.69,569688833.479197,CFU,sp
