,B,T,dB/dt_1,dT/dt_1,dB/dt_2,dT/dt_2
114,3.065824874800814,206899388.33418867,-21.468184764427267,-575632.67724365,-16.27027635276014,-576463.8595247162
115,1.803481917877299,206841686.04930913,-12.623429569235151,-577022.8487953544,-9.567923493505894,-577478.0623551263
116,1.0610881882741552,206783908.71798348,-7.423937296031437,-577773.3132565022,-5.6274995225276605,-578007.5725765576
117,0.6244051409877287,206726093.93683568,-4.366830472864264,-578147.8114780784,-3.3104604480252133,-578252.1992619027
118,0.3674995324249876,206668263.80501097,-2.5690560856274107,-578301.3182470202,-1.9477651302802765,-578329.3614476114
119,0.2163328393431301,206610431.3137609,-1.511666930818575,-578324.9125006795,-1.1461990819116223,-578308.0728829324
120,0.127368913682552,206552604.10069925,-0.8896392566057811,-578272.1306166053,-0.6746194017639521,-578228.9037683462
121,0.07500319484456253,206494786.65602046,-0.5236571883798946,-578174.4467878342,-0.39713018617832985,-578115.7076776265
122,0.044174474320624206,206436981.61922303,-0.3082872052393832,-578050.3679743409,-0.23382032741240436,-577982.5119306793
123,0.02602185834061973,206379190.5414003,-0.18152615980004477,-577910.7782271504,-0.1376914293150448,-577837.5668506476
124,0.015331353545750942,206321414.33343783,-0.10690504794868787,-577762.0796248317,-0.0810973782249832,-577685.7257941634
125,0.009034371425202383,206263653.529581,-0.06296982120548558,-577608.0385681987,-0.04777293944248259,-577529.844301768
126,0.005324644486766211,206205908.44245648,-0.037097269384361725,-577450.871245265,-0.028147014567712726,-577371.6027596872
127,0.0031387628415778927,206148179.2542657,-0.021858816451883176,-577291.8819078803,-0.016586620789646726,-577211.9901858418
128,0.0018505532197277692,206090466.07044035,-0.012882096218501234,-577131.8382534385,-0.009775943368500507,-577051.5887810431
129,0.0010912388670713848,206032768.951217,-0.007593143526563844,-576971.1922335625,-0.005762813980732945,-576890.7413240634
130,0.0006435958298611459,205975087.93022093,-0.004476430372102388,-576810.2099606395,-0.003397704982540159,-576729.6496634341
131,0.0003796485493307533,205917423.02540603,-0.002639472805303926,-576649.0481489897,-0.0020036038336079956,-576568.4326780076
132,0.00022398832130015407,205859774.24549586,-0.0015566022803059924,-576487.7991017699,-0.0011817160685241804,-576407.1603915547
133,0.00013217340886663027,205802141.5937767,-0.0009181491243352379,-576326.5171915293,-0.0006970910502151042,-576245.8740555071
134,7.800777161659454e-05,205744525.07033157,-0.0005416563725003573,-576165.234451294,-0.0004112831632365989,-576084.5979734048
135,4.6047567888822916e-05,205686924.6733562,-0.0003196020372777162,-576003.9697536826,-0.00024269866773224662,-575923.3464641755
136,2.7186327523439593e-05,205629340.3999345,-0.0001886124036538332,-575842.7342170477,-0.00014324150312514843,-575762.1279634369
137,1.605348751097662e-05,205571772.2464953,-0.00011132840012462973,-575681.5343919396,-8.45561775911743e-05,-575600.9474395395
138,9.48119819859595e-06,205514220.20908183,-6.572289312380667e-05,-575520.374134779,-4.992255325422959e-05,-575439.8078170844
139,5.600567246077826e-06,205456684.28351036,-3.880630952518125e-05,-575359.2557147145,-2.9479708773109384e-05,-575278.710815796
140,3.3088398390868088e-06,205399164.46546385,-2.2917274069910166e-05,-575198.1804651022,-1.741103229377598e-05,-575117.6574449505
141,1.9552144316154362e-06,205341660.75054708,-1.3536254074713726e-05,-575037.1491676569,-1.0284916366886625e-05,-574956.6482948405
142,1.1555478646175344e-06,205284173.13431925,-7.996665669979018e-06,-574876.1622783542,-6.076477558998383e-06,-574795.6837086233
143,6.830560790055378e-07,205226701.6123132,-4.724917856119966e-06,-574715.2200603485,-3.5906899122114e-06,-574634.7638836609
144,4.0383098428643627e-07,205169246.1800467,-2.7922509471910152e-06,-574554.3226650357,-2.12216307304804e-06,-574473.8889312892
145,2.3879088691280137e-07,205111806.83302915,-1.650400973736349e-06,-574393.4701755643,-1.2544531098768655e-06,-574313.0589120769
146,1.4122470398529244e-07,205054383.5667655,-9.756618292750892e-07,-574232.6626366377,-7.416601050163288e-07,-574152.273856629
147,8.353690678708135e-08,204996976.3767586,-5.768779719821109e-07,-574071.9000688195,-4.385611831081908e-07,-573991.5337778624
148,4.9422063997945665e-08,204939585.25851062,-3.411484278913568e-07,-573911.1824798584,-2.593762613526055e-07,-573830.8386782513
149,2.9244090421524854e-08,204882210.20752376,-2.017797357642081e-07,-573750.5098685622,-1.5342813505274824e-07,-573670.1885541044
150,1.7307330504932093e-08,204824851.21930084,-1.193675991659276e-07,-573589.8822292686,-9.077254441584058e-08,-573509.58339809
151,1.0244641494970553e-08,204767508.2893455,-7.062689009961539e-08,-573429.2995533347,-5.371291402180917e-08,-573349.0232007274
152,6.065102308469518e-09,204710181.4131624,-4.179539186501035e-08,-573268.7618309259,-3.178905373806299e-08,-573188.5079512676
