,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type,Total_Type
361,34.0,18,0,33.75,166.6493087009992,PFU,wt,PFUwt
362,34.0,18,0,33.64,1539721132.0137281,CFU,sp,CFUsp
363,34.0,18,0,33.980000000000004,36.0202579174576,PFU,sp,PFUsp
364,34.0,18,1,34.46,1389992276.8164568,CFU,wt,CFUwt
365,34.0,18,1,33.730000000000004,166.5205293684699,PFU,wt,PFUwt
366,34.0,18,1,33.54,1539710275.2174752,CFU,sp,CFUsp
367,34.0,18,1,33.5,35.28806334661329,PFU,sp,PFUsp
368,34.0,18,2,34.27,1389991553.8152661,CFU,wt,CFUwt
369,34.0,18,2,34.07,168.70872884583642,PFU,wt,PFUwt
370,34.0,18,2,34.26,1539779931.9705994,CFU,sp,CFUsp
371,34.0,18,2,34.45,36.73619973147176,PFU,sp,PFUsp
372,34.0,18,3,34.43,1389992166.9155324,CFU,wt,CFUwt
373,34.0,18,3,34.480000000000004,171.3444764761412,PFU,wt,PFUwt
374,34.0,18,3,33.85,1539742625.4358776,CFU,sp,CFUsp
375,34.0,18,3,33.74,35.65428929473133,PFU,sp,PFUsp
376,34.0,18,4,34.06,1389990675.7094443,CFU,wt,CFUwt
377,34.0,18,4,34.410000000000004,170.89470002409155,PFU,wt,PFUwt
378,34.0,18,4,33.9,1539747493.842089,CFU,sp,CFUsp
379,34.0,18,4,33.94,35.95928103285794,PFU,sp,PFUsp
380,34.0,19,0,33.79,1389989411.2675037,CFU,wt,CFUwt
381,34.0,19,0,33.53,165.23231156195453,PFU,wt,PFUwt
382,34.0,19,0,34.06,1539762462.533149,CFU,sp,CFUsp
383,34.0,19,0,34.18,36.32503493819396,PFU,sp,PFUsp
384,34.0,19,1,33.61,1389988474.4203231,CFU,wt,CFUwt
385,34.0,19,1,34.08,168.77305391193923,PFU,wt,PFUwt
386,34.0,19,1,33.76,1539733624.592129,CFU,sp,CFUsp
