,Time,Concentration,Bioagent,Type
266,2.66,74076008.50826244,CFU,wt
267,2.67,74407008.81465828,CFU,wt
268,2.68,74739404.15503916,CFU,wt
269,2.69,75073199.65699312,CFU,wt
270,2.7,75408400.46020529,CFU,wt
271,2.71,75745011.71642207,CFU,wt
272,2.72,76083038.58941467,CFU,wt
273,2.73,76422486.25494173,CFU,wt
274,2.74,76763359.9007113,CFU,wt
275,2.75,77105664.72634177,CFU,wt
276,2.7600000000000002,77449405.94332242,CFU,wt
277,2.77,77794588.77497263,CFU,wt
278,2.7800000000000002,78141218.45640077,CFU,wt
279,2.79,78489300.23446189,CFU,wt
280,2.8000000000000003,78838839.36771485,CFU,wt
281,2.81,79189841.12637837,CFU,wt
282,2.82,79542310.7922865,CFU,wt
283,2.83,79896253.65884304,CFU,wt
284,2.84,80251675.0309751,CFU,wt
285,2.85,80608580.2250861,CFU,wt
286,2.86,80966974.56900729,CFU,wt
287,2.87,81326863.4019492,CFU,wt
288,2.88,81688252.07445145,CFU,wt
289,2.89,82051145.94833222,CFU,wt
290,2.9,82415550.39663643,CFU,wt
291,2.91,82781470.80358337,CFU,wt
292,2.92,83148912.56451313,CFU,wt
293,2.93,83517881.08583227,CFU,wt
294,2.94,83888381.78495851,CFU,wt
295,2.95,84260420.09026459,CFU,wt
296,2.96,84634001.441021,CFU,wt
297,2.97,85009131.28733799,CFU,wt
298,2.98,85385815.09010647,CFU,wt
299,2.99,85764058.32093802,CFU,wt
300,3.0,86143866.46210395,CFU,wt
301,3.0100000000000002,86525245.00647333,CFU,wt
302,3.02,86908199.45745015,CFU,wt
303,3.0300000000000002,87292735.32890937,CFU,wt
304,3.04,87678858.14513204,CFU,wt
305,3.0500000000000003,88066573.44073951,CFU,wt
306,3.06,88455886.76062642,CFU,wt
307,3.0700000000000003,88846803.65989298,CFU,wt
308,3.08,89239329.70377587,CFU,wt
309,3.09,89633470.4675785,CFU,wt
310,3.1,90029231.53659995,CFU,wt
311,3.11,90426618.50606295,CFU,wt
312,3.12,90825636.98104098,CFU,wt
313,3.13,91226292.576384,CFU,wt
314,3.14,91628590.91664341,CFU,wt
315,3.15,92032537.63599584,CFU,wt
316,3.16,92438138.37816584,CFU,wt
317,3.17,92845398.7963475,CFU,wt
318,3.18,93254324.55312505,CFU,wt
319,3.19,93664921.32039225,CFU,wt
320,3.2,94077194.77927084,CFU,wt
321,3.21,94491150.62002774,CFU,wt
322,3.22,94906794.54199116,CFU,wt
323,3.23,95324132.25346568,CFU,wt
